"DAT_OCR";"NUM_PLACA";"NUM_VELOCIDADE";"COD_LATITUDE";"COD_LONGITUDE";"LOCEQUIP"
23/07/23;"ILD6043";50;"-22.8811890000";"-43.2573030000";"AVENIDA DOM HELDER CAMARA PROXIMO AO Nº 2238 - SENTIDO CENTRO - FX 1"
23/07/23;"LUI7151";28;"-22.9186111100";"-43.2183333300";"RUA DOUTOR SATAMINI PROXIMO AO Nº 129 - SENTIDO SAENS PENA - FX 2"
23/07/23;"LQA9I79";18;"-23.0052778000";"-43.4308333333";"AVENIDA DAS AMERICAS PROXIMO AO Nº 11899 - SENTIDO SAO CONRADO - FX 3 PISTA LATERAL"
23/07/23;"LPG3765";24;"-23.0052778000";"-43.4308333333";"AVENIDA DAS AMERICAS PROXIMO AO Nº 11899 - SENTIDO SAO CONRADO - FX 2 PISTA LATERAL"
23/07/23;"LBK7537";37;"-22.5914435000";"-43.1807087000";"ESTRADA DA BARRA DA TIJUCA PROXIMO AO Nº 1117 - SENTIDO RIO DAS PEDRAS - FX 1"
23/07/23;"IRI8411";26;"-22.9196681000";"-43.4001200000";"ESTRADA DO RIO GRANDE PROXIMO AO Nº 3463 - SENTIDO ESTRADA DO PAU DA FOME - FX 1"
23/07/23;"KWW9821";30;"-22.4850965000";"-43.1223252000";"RUA CAMBAUBA PROXIMO AO Nº 1165 - SENTIDO PRAIA DA BICA - FX 1"
23/07/23;"RKA3655";33;"-22.9391667000";"-43.3347222222";"RUA TIROL PROXIMO AO Nº 753 - SENTIDO JACAREPAGUA - FX 1"
23/07/23;"KXW4023";15;"-22.9894240000";"-43.4170770000";"AVENIDA SALVADOR ALLENDE PROXIMO AO BRT ILHA PURA - SENTIDO CURICICA - FX 2 PISTA LATERAL"
23/07/23;"LTT9871";32;"-22.9628630000";"-43.2100430000";"AVENIDA BORGES DE MEDEIROS PROXIMO AO Nº 3371 - SENTIDO TUNEL REBOUCAS - FX 2"
23/07/23;"LLX1843";20;"-22.9212400000";"-43.3702380000";"ESTRADA MARECHAL MIGUEL SALAZAR MENDES DE MORAES PROXIMO AO Nº 291 - SENTIDO TAQUARA - FX 1"
23/07/23;"QUU7A74";57;"-22.9809930000";"-43.4099180000";"AVENIDA SALVADOR ALLENDE PROXIMO AO BRT OLOF PALME - SENTIDO PRAIA - FX 2 PISTA LATERAL"
23/07/23;"RVS6676";28;"-23.0035420000";"-43.4334500000";"AVENIDA SALVADOR ALLENDE PROXIMO AO Nº 5400 - SENTIDO CURICICA - FX 2 PISTA CENTRAL"
23/07/23;"PJI1035";47;"-23.0000690000";"-43.3555950000";"AVENIDA DAS AMERICAS PROXIMO AO Nº 4093 - SENTIDO SAO CONRADO - FX 3 PISTA CENTRAL"
23/07/23;"KZB9214";29;"-22.9677060000";"-43.3977170000";"AVENIDA SALVADOR ALLENDE PROXIMO AO Nº 971 - SENTIDO CURICICA - FX 2 PISTA CENTRAL"
23/07/23;"RJO7118";35;"-22.9125000000";"-43.2000000000";"AVENIDA SALVADOR DE SA PROXIMO AO Nº 156 - SENTIDO ESTACIO - FX 2"
23/07/23;"QOR7335";48;"-22.9091666700";"-43.2041666700";"AVENIDA PRESIDENTE VARGAS PROXIMA A ESTACAO CIDADE NOVA - SENTIDO PRACA DA BANDEIRA - FX 2 PISTA CENTRAL"
23/07/23;"PZV0373";30;"-22.9013888900";"-43.1805555600";"AVENIDA PRESIDENTE VARGAS PROXIMO AO Nº 534 - SENTIDO PRACA DA BANDEIRA - FX 2 PISTA LATERAL"
23/07/23;"QUY8148";54;"-22.9094444400";"-43.2044444400";"AVENIDA PRESIDENTE VARGAS PROXIMO A ESTACAO CIDADE NOVA - SENTIDO PRACA XV - FX 2 PISTA CENTRAL"
23/07/23;"KWA8769";42;"-22.9050000000";"-43.1900000000";"AVENIDA PRESIDENTE VARGAS PROXIMO AO Nº 1733 - SENTIDO PRACA XV - FX 3 PISTA LATERAL FAIXA EXCLUSIVA BRS"
